geo_point_2d;geo_shape;id_df;standort;strasse;hausnummer;plz;ort;kanton;verfuegbar;bemerkung
47.55922941016034, 7.586619083438051;"{""coordinates"": [7.586619083438051, 47.55922941016034], ""type"": ""Point""}";148;Parkhaus Storchen;Fischmarkt;10;4051;Basel;BS;Hauptausgang, EG (neben Elektroparkplätzen);24/365
47.58182420137219, 7.589036298614465;"{""coordinates"": [7.589036298614465, 47.58182420137219], ""type"": ""Point""}";151;Kommando Grenzwachtregion I;Wiesendamm;4;4057;Basel;BS;EG, direkt nach der Eingangstüre links an der Wand;07.30 â?“ 12.00 & 13.00 â?“ 17.00 (Mo-Fr)
47.56612559557841, 7.603280493571736;"{""coordinates"": [7.603280493571736, 47.56612559557841], ""type"": ""Point""}";154;Departement Chemie, Rosental Areal, Gebäude 1096;Mattenstrasse;24a;4058;Basel;BS;Im Treppenhaus EG. Rosental Areal ist ein geschlossenes Areal, kein direkter Zutritt möglich;Mo-Fr 0645-1800
47.550691101831944, 7.592809905981035;"{""coordinates"": [7.592809905981035, 47.550691101831944], ""type"": ""Point""}";160;Departement Geschichte;Hirschgässli;21;4051;Basel;BS;1. OG Treppenhaus, Treppenabsatz;Mo-Fr 0800-1800
47.538370804307384, 7.619500885942483;"{""coordinates"": [7.619500885942483, 47.538370804307384], ""type"": ""Point""}";164;Eishalle St.Jakob-Arena;Mittlere Allee;18;4052;Basel;BS;Einfahrt Eismaschine zwischen Garage und Eisfeld;Wenn St. Jakob-Arena geöffnet
47.561272401300656, 7.575465898168259;"{""coordinates"": [7.575465898168259, 47.561272401300656], ""type"": ""Point""}";166;Fakultät für Psychologie;Missionssatrasse;62a;4055;Basel;BS;Erdgeschoss, direkt nach dem Eingang zum Gang rechts;Mo-Fr 0900-1700
47.53300570019921, 7.611001803036205;"{""coordinates"": [7.611001803036205, 47.53300570019921], ""type"": ""Point""}";171;FHNW Campus der Künste;Freilager-Platz;1;4023;Basel;BS;Gerät befindet sich im 6. OG beim Lift. Schlüsselhülse neben Eingang.;Zu Betriebszeiten
47.53300570019921, 7.611001803036205;"{""coordinates"": [7.611001803036205, 47.53300570019921], ""type"": ""Point""}";172;FHNW Campus der Künste;Freilager-Platz;1;4023;Basel;BS;Gerät befindet sich im 8. OG beim Lift. Schlüsselhülse neben Eingang.;Zu Betriebszeiten
47.53365219520628, 7.610544499107406;"{""coordinates"": [7.610544499107406, 47.53365219520628], ""type"": ""Point""}";173;FHNW Campus der Künste;Florenz-Strasse;1e;4023;Basel;BS;BauRaum, Durchgang Werkstatt (EG);Zu Betriebszeiten
47.53461174046964, 7.609851796266256;"{""coordinates"": [7.609851796266256, 47.53461174046964], ""type"": ""Point""}";174;FHNW Campus der Künste;Florenzstrasse;;4023;Basel;BS;Im Pavillon, im Treppenhaus;Zu Öffnungsteiten
