id_platz;typ;strasse;tarif;anzvelos;anschliess;gedeckt;zugang;infos;cargovelo;bikeride;velospot;geo_point_2d;geo_shape
95;Velos;Hohe Strasse;Gebührenfrei;8;nicht anschliessbar;nein;;;;nein;;47.57144701148424, 7.683166979274988;"{""coordinates"": [7.683166979274988, 47.57144701148424], ""type"": ""Point""}"
100;Velos;Dolderweg;Gebührenfrei;22;nicht anschliessbar;nein;;;;nein;;47.56059849862155, 7.594693151511881;"{""coordinates"": [7.594693151511881, 47.56059849862155], ""type"": ""Point""}"
101;Velos;Clarastrasse;Gebührenfrei;22;nicht anschliessbar;nein;;;;nein;;47.563177385215724, 7.598153273488942;"{""coordinates"": [7.598153273488942, 47.563177385215724], ""type"": ""Point""}"
103;Velos;Nadelberg;Gebührenfrei;20;nicht anschliessbar;nein;;;;nein;;47.559034096053914, 7.585543270041562;"{""coordinates"": [7.585543270041562, 47.559034096053914], ""type"": ""Point""}"
104;Velos;Nadelberg;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.55822123681198, 7.585469659920127;"{""coordinates"": [7.585469659920127, 47.55822123681198], ""type"": ""Point""}"
108;Velos;Hebelstrasse;Gebührenfrei;15;nicht anschliessbar;nein;;;;nein;;47.56035386971318, 7.583466895415687;"{""coordinates"": [7.583466895415687, 47.56035386971318], ""type"": ""Point""}"
109;Velos;Hebelstrasse;Gebührenfrei;24;nicht anschliessbar;nein;;;;nein;;47.56025866242901, 7.583784912135786;"{""coordinates"": [7.583784912135786, 47.56025866242901], ""type"": ""Point""}"
110;Velos;Hebelstrasse;Gebührenfrei;15;nicht anschliessbar;nein;;;;nein;;47.56016525252459, 7.584088901650362;"{""coordinates"": [7.584088901650362, 47.56016525252459], ""type"": ""Point""}"
111;Velos;Schönbeinstrasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.560526672052035, 7.581096726599591;"{""coordinates"": [7.581096726599591, 47.560526672052035], ""type"": ""Point""}"
113;Velos;Schönbeinstrasse;Gebührenfrei;25;nicht anschliessbar;nein;;;;nein;;47.560357690644835, 7.581014415153031;"{""coordinates"": [7.581014415153031, 47.560357690644835], ""type"": ""Point""}"
118;Velos;Falknerstrasse;Gebührenfrei;18;nicht anschliessbar;nein;;;;nein;;47.55604156902992, 7.588942027367867;"{""coordinates"": [7.588942027367867, 47.55604156902992], ""type"": ""Point""}"
