id_angebot;name;kategorie;beschreibu;strassenr;plz;ort;link;zustaendig;bemerkung;baselinfo;geo_point_2d;geo_shape
229;Bachgraben-Promenade Jugendtreff;Tischtennistisch;Tischtennistisch;Bachgraben-Promenade;4055;Basel;;Stadtgärtnerei;Name geändert;nein;47.56315920281948, 7.560941585103636;"{""coordinates"": [7.560941585103636, 47.56315920281948], ""type"": ""Point""}"
13;Margarethen;Sporthalle;Dreifach-Sporthalle;Gempenstrasse 48;4053;Basel;;Sportamt BS;;ja;47.54394088153904, 7.5859582364619955;"{""coordinates"": [7.585958236461996, 47.54394088153904], ""type"": ""Point""}"
17;Schulareal Gotthelf/Gottfried Keller;Tischtennistisch;Tischtennistische;Buchenstrasse 55;4054;Basel;;ED;evtl doppelt? Sonst nicht STG;nein;47.55508817233554, 7.5684132967526105;"{""coordinates"": [7.568413296752611, 47.55508817233554], ""type"": ""Point""}"
152;Blauensteinerstrasse;Tischtennistisch;Tischtennistisch;Blauensteinerstrasse;4053;Basel;;Stadtgärtnerei;i.O.;nein;47.544046763215015, 7.583498808220221;"{""coordinates"": [7.583498808220221, 47.544046763215015], ""type"": ""Point""}"
19;Wettsteinschulhaus;Spezialsportanlage;Ringen;Claragraben 50;4058;Basel;;Sportamt BS;;nein;47.561124129203606, 7.596554687977216;"{""coordinates"": [7.596554687977216, 47.561124129203606], ""type"": ""Point""}"
24;Klingental Sporthalle;Spezialsportanlage;Boxen;Kasernenstrasse 25;4058;Basel;;Sportamt BS;;nein;47.563030656994556, 7.591396892780312;"{""coordinates"": [7.591396892780312, 47.563030656994556], ""type"": ""Point""}"
26;Vogelsang;Hallenbad;Schwimmen, Schulschwimmbad (8x18m);Schwarzwaldallee 107;4058;Basel;;Sportamt BS;;nein;47.56321920632178, 7.609132346123208;"{""coordinates"": [7.609132346123208, 47.56321920632178], ""type"": ""Point""}"
28;Gellertschulhaus;Tischtennistisch;Tischtennistische;Emanuel Büchel-Strasse 15;4052;Basel;;ED;nicht STG;nein;47.5499415042206, 7.614378697951591;"{""coordinates"": [7.614378697951591, 47.5499415042206], ""type"": ""Point""}"
162;Claramatte;Tischtennistisch;5 Tischtennistische;Claragraben;4057;Basel;;Stadtgärtnerei;Stk erweitert;nein;47.56332427021738, 7.594208477605008;"{""coordinates"": [7.594208477605008, 47.56332427021738], ""type"": ""Point""}"
32;Robispielplatz Allmend;Tischtennistisch;Tischtennistisch;Allmendstrasse 219;4058;Basel;;Robi-Spielaktion;Robi Spielaktion ergänzt;nein;47.56364182861197, 7.624414241427745;"{""coordinates"": [7.624414241427745, 47.56364182861197], ""type"": ""Point""}"
34;Leonhard Schulhaus;Tischtennistisch;Tischtennistische;;4051;Basel;;ED;nicht STG;nein;47.55424718981581, 7.587232432615048;"{""coordinates"": [7.587232432615048, 47.55424718981581], ""type"": ""Point""}"
