,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
188,10190,10166,GR,3639,Scheid,Scheid,11,1,1000,20,01.01.1960,2014,24,31.12.2000,31.12.2000
189,10191,10166,GR,3638,Scharans,Scharans,11,1,1000,20,01.01.1960,2013,24,31.12.2000,31.12.2000
190,10192,10166,GR,3637,Rothenbrunnen,Rothenbrunnen,11,1,1000,20,01.01.1960,2012,24,31.12.2000,31.12.2000
191,10193,10166,GR,3636,Rodels,Rodels,11,1,1000,20,01.01.1960,2011,24,31.12.2000,31.12.2000
192,10194,10166,GR,3664,Portein,Portein,11,1,1000,20,01.01.1960,2023,24,31.12.2000,31.12.2000
193,10195,10166,GR,3634,Paspels,Paspels,11,1,1000,20,01.01.1960,2009,24,31.12.2000,31.12.2000
194,10196,10166,GR,3665,Präz,Präz,11,1,1000,20,01.01.1960,2024,24,31.12.2000,31.12.2000
195,10197,10166,GR,3632,Feldis/Veulden,Feldis/Veulden,11,1,1000,20,01.01.1960,2007,24,31.12.2000,31.12.2000
196,10198,10166,GR,3631,Almens,Almens,11,1,1000,20,01.01.1960,2006,24,31.12.2000,31.12.2000
197,10199,10193,GR,3616,Waltensburg/Vuorz,Waltensburg/Vuorz,11,1,1000,20,01.01.1960,2005,24,31.12.2000,31.12.2000
198,10200,10193,GR,3615,Siat,Siat,11,1,1000,20,01.01.1960,2004,24,31.12.2000,31.12.2000
199,10201,10193,GR,3614,Rueun,Rueun,11,1,1000,20,01.01.1960,2003,24,31.12.2000,31.12.2000
200,10202,10107,FR,2047,Villeneuve (FR),Villeneuve (FR),11,1,1000,20,01.01.1960,3459,29,31.12.2016,31.12.2016
201,10203,10193,GR,3612,Obersaxen,Obersaxen,11,1,1000,20,01.01.1960,2001,24,31.12.2000,31.12.2000
202,10204,10193,GR,3611,Andiast,Andiast,11,1,1000,20,01.01.1960,2000,24,31.12.2000,31.12.2000
203,10205,10193,GR,3606,Vrin,Vrin,11,1,1000,20,01.01.1960,1999,24,31.12.2000,31.12.2000
204,10206,10015,VD,5414,Villeneuve (VD),Villeneuve (VD),11,1,1000,20,01.01.1960,2352,24,31.08.2006,31.08.2006
205,10207,10067,BE,448,Villeret,Villeret,11,1,1000,20,01.01.1960,2794,24,31.12.2009,31.12.2009
206,10208,10193,GR,3603,Vals,Vals,11,1,1000,20,01.01.1960,1996,24,31.12.2000,31.12.2000
207,10209,10193,GR,3601,Tersnaus,Tersnaus,11,1,1000,20,01.01.1960,1994,24,31.12.2000,31.12.2000
